"","ID","chemical","tissue","Type","Source","unit","Species","applicationrate"
"183","PMK2034","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"184","PMK2035","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"185","PMK2036","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"186","PMK2037","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"187","PMK2038","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"188","PMK2039","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"189","PMK2040","X35.DCA",0.0038,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"190","PMK2041","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"191","PMK2042","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"192","PMK2043","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"193","PMK2044","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"194","PMK2045","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"195","NPF4","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"196","NPF5","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"197","NPF6","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"198","NPF7","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"199","NPF8","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"200","NPF9","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"201","NPF10","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"202","NPF11","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana Pipiens","unknown"
"203","SCF1","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"204","SCF2","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"205","SCF3","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"206","SCF4","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"207","SCF5","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"208","CNF1","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"209","CNF2","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"210","CNF3","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"211","CNF4","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"212","CNF5","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"213","MLF1","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"214","MLF2","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"215","MLF3","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"216","MLF4","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"217","MLF5","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"218","RGF1","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"219","RGF2","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"220","RGF3","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"221","RGF4","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"222","RGF5","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"223","LCF1","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"224","LCF2","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"225","LCF3","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"226","LCF4","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"227","LCF5","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"228","LCF6","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"229","LCF7","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"230","LCF8","X35.DCA",0.0048,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"231","LCF9","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"232","LCF10","X35.DCA",0.0165,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"233","WJB106","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"234","WJB107","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"235","WBJ108","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"236","WBJ109","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"237","WBJ110","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"238","WBJ112","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"239","WBJ206","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"240","WBJ301","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"241","WBJ303","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"242","WBJ304","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"243","WBJ305","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"244","WBJ306","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"245","WBJ307","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"246","CPF1","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"247","CPF2","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"248","CPF3","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"249","CPF4","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
